TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,46,34,59,21,l,12,-13,True,False,False,7.70443606377,True,False,False,False,0,0,0.6,0.25,True,False,False,17.5215170383,False,True,False,0,False,False,False,59,27092019,59.9477460481,PreComm_Task,700,
2,51,55,38,68,f,4,-13,False,True,False,7.64774394035,True,False,False,False,0,0,0.3,0.27,True,False,False,17.1826848984,False,False,True,0,False,False,False,68,27092019,59.9477460481,PreComm_Task,700,
3,57,85,60,82,s,28,3,False,True,False,7.64894390106,False,True,False,0,0,0,0,0.29,0,False,False,0,False,False,False,10.6993589401,True,False,False,82,27092019,59.9477460481,PreComm_Task,700,
4,27,39,24,42,h,12,-3,False,True,False,7.64862895012,False,True,False,0,0,0,0,0.29,0,False,False,0,False,False,False,10.6991131306,True,False,False,42,27092019,59.9477460481,PreComm_Task,700,
5,60,56,69,47,d,4,-9,True,False,False,7.6484940052,True,False,False,True,0.215245962143,16.3981978893,0.6,0.29,False,True,False,0,False,False,False,0,False,False,False,69,27092019,59.9477460481,PreComm_Task,700,
6,65,61,52,74,e,4,13,False,False,True,7.63256192207,True,False,False,True,0.249409914017,16.0149269104,0.2,0.27,False,False,True,0,False,False,False,0,False,False,False,74,27092019,59.9477460481,PreComm_Task,700,
7,49,77,46,80,t,28,-3,False,True,False,7.61580991745,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.6659119129,True,False,False,80,27092019,59.9477460481,PreComm_Task,700,
8,70,58,61,67,i,12,9,False,False,True,7.64909815788,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.7003471851,False,True,False,61,27092019,59.9477460481,PreComm_Task,700,
9,68,64,59,73,c,4,9,False,False,True,7.64865088463,True,False,False,True,0.238755226135,16.2216219902,0.4,0.25,False,False,True,0,False,False,False,0,False,False,False,73,27092019,59.9477460481,PreComm_Task,700,
10,39,59,48,50,o,20,9,False,True,False,7.64874601364,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.700273037,True,False,False,50,27092019,59.9477460481,PreComm_Task,700,
11,47,59,38,68,j,12,-9,False,True,False,7.63274598122,True,False,False,True,0.21521282196,16.7816269398,1.0,0.23,False,False,True,0,False,False,False,0,False,False,False,68,27092019,59.9477460481,PreComm_Task,700,
12,25,53,34,44,u,28,9,False,True,False,7.64831614494,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.6996991634,True,False,False,44,27092019,59.9477460481,PreComm_Task,700,
13,37,65,28,74,v,28,-9,False,True,False,7.64862513542,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7002689838,True,False,False,74,27092019,59.9477460481,PreComm_Task,700,
14,67,63,64,66,a,4,3,False,False,True,7.68298506737,True,False,False,False,0,0,0.4,0.21,True,False,False,17.2667779922,False,False,True,0,False,False,False,66,27092019,59.9477460481,PreComm_Task,700,
15,39,67,26,80,x,28,-13,False,True,False,7.63095378876,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6829938889,True,False,False,80,27092019,59.9477460481,PreComm_Task,700,
16,45,25,58,12,r,20,-13,True,False,False,7.63173699379,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6830480099,False,True,False,58,27092019,59.9477460481,PreComm_Task,700,
17,47,43,50,40,b,4,-3,True,False,False,7.66426992416,True,False,False,True,0.229884147644,16.4291419983,0.6,0.23,False,True,False,0,False,False,False,0,False,False,False,50,27092019,59.9477460481,PreComm_Task,700,
18,15,43,28,30,w,28,13,False,True,False,7.63204312325,True,False,False,False,0,0,0.4,0.21,True,False,False,17.2169530392,False,False,True,0,False,False,False,30,27092019,59.9477460481,PreComm_Task,700,
19,75,55,62,68,q,20,13,False,False,True,7.63275313377,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6837520599,False,True,False,62,27092019,59.9477460481,PreComm_Task,700,
20,34,54,31,57,n,20,-3,False,True,False,7.64925193787,True,False,False,True,0.230635166168,16.613615036,0.8,0.23,False,False,True,0,False,False,False,0,False,False,False,57,27092019,59.9477460481,PreComm_Task,700,
