Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_9,Q31_10,Q31_11,Q31_12,Q31_13,Q31_14,Q31_15,Q31_16,Q31_17,Q31_18,Q31_19,Q31_20,Q31_21,Q31_22,Q31_23,Q31_24,Q31_25,Q31_26,Q31_27,Q31_28,Q31_29,Q31_30,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9,Q32_10,Q32_11,Q32_12,Q32_13,Q32_14,Q32_15,Q32_16,Q32_17,Q32_18,Q32_19,Q32_20,Q32_21
668,"if the difference between last year's prices was large, i'd commit. if the difference was small, I'd wait",2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,3,1,2,3,3,2,3,3,3,3,1,3,2,3,1,3,3,2,2,1,1,1,1,2,2,4,3,3,3,1,1,2,2,2,2,3,3,1,3,4,2,3,2,4,3,3,3,3
473,"If the difference in values was more than 20 points then I would commit, unless I misclicked",1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,1,3,2,3,3,2,3,2,2,2,3,3,3,3,3,3,2,2,2,3,3,1,1,2,2,1,2,2,2,3,3,4,3,2,2,4,2,3,2,4,4,3,3,2,2,4,2,4,2,2,4,2
669,"When the price difference is over 20 or the price is high enouth, i chose to commit, otherwise I chose to wait.",1,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,2,1,3,2,3,1,1,2,4,3,3,3,2,3,2,1,4,2,1,2,1,3,1,1,1,2,1,4,2,2,3,2,2,3,2,2,4,2,2,3,3,4,3,2,1,1,4,2,4,1,2,3,1
671,"If the money amount is larger than 50 or the prices are close, I'd like to choose wait. ",2,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,3,2,2,1,2,3,4,3,2,1,2,4,2,2,1,3,2,2,1,3,2,2,2,2,1,3,4,2,3,3,2,3,3,1,2,2,3,4,4,4,2,3,2,1,4,2,3,1,1,4,2
672,Yes. When the difference was really large I would commit and when there was a small difference I would wait.,1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,4,1,2,3,2,2,4,3,3,3,2,4,3,1,3,2,1,2,2,4,3,2,2,2,1,2,2,2,2,3,2,4,2,2,3,1,3,2,3,4,3,3,4,2,4,1,3,2,2,4,2
673,instinct ,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,3,2,3,3,2,4,2,2,3,3,2,4,1,1,4,4,3,1,3,3,2,3,1,4,1,4,4,1,4,1,4,4,2,2,4,2,2,2,4,4,3,3,1,1,4,3,4,1,1,4,4
168,"If the prices I saw were really close to each other (within 5-10), I'd wait and then see if they changed, or sometimes if the prices had a huge gap in them, I'd also wait ",1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,3,2,3,2,1,2,4,3,3,2,2,3,2,1,2,2,2,2,2,3,2,2,2,2,1,2,2,2,3,3,2,4,2,1,3,2,3,2,3,3,2,3,2,2,4,2,3,3,1,4,2
674,"Yes- If last year's prices were close together, I waited for this year's prices and tried to get a hit so I could pick the highest payment. If last year's prices were different enough, I committed right away and picked the higher payment.",1,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,3,2,3,3,3,1,2,3,2,1,3,3,2,3,4,2,3,2,3,3,4,3,2,2,3,3,2,3,2,3,3,2,2,1,1,3,1,1,2,1,3,1,3,2,1,3,1,3,1,1,3
675,"Yes, if the numbers were close, I would wait. If there was a big gap between the numbers, I would commit",1,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,4,2,1,3,2,3,4,3,3,2,2,3,4,2,2,2,2,3,2,3,2,4,2,1,2,3,2,2,2,4,1,3,1,1,1,1,3,2,3,3,3,2,4,1,3,1,2,2,1,4,2
676,"Yes, I chose commit most of the time because whenever I did it seemed more likely that the number of points would increase",1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,3,2,3,3,2,2,2,4,3,2,1,3,3,2,4,3,3,1,3,3,3,4,1,3,4,4,2,1,2,4,3,2,1,1,3,2,1,3,3,4,1,3,2,1,4,2,2,3,2,4,1
