TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Stable,56,57,59,54,4,1,-3,8.00810997499866,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,10.496292144001927,True,False,False,54,1128,16092021,PreComm_Task,None,
2,Stable,64,51,61,54,16,13,-3,7.261742738999601,True,False,False,True,0.5962955450013396,16.463081049998436,0.6,0.8,False,True,False,0,False,False,False,0,False,False,False,61,1128,16092021,PreComm_Task,None,
3,Stable,76,69,73,72,10,7,-3,6.41116240500196,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,8.961212185000477,False,True,False,73,1128,16092021,PreComm_Task,None,
4,Stable,44,45,43,46,2,1,1,6.786318594000477,True,False,False,True,0.5957936740014702,16.383572496000852,1.0,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,46,1128,16092021,PreComm_Task,None,
5,Stable,11,24,12,23,15,13,-1,7.014395436999621,True,False,False,False,0,0,0.2,0.6000000000000001,True,False,False,16.83387255100024,False,False,True,0,False,False,False,23,1128,16092021,PreComm_Task,None,
6,Stable,22,15,28,9,6,7,6,6.219212567000795,True,False,False,True,0.6028583330007677,15.81898381800056,1.0,0.7000000000000001,False,True,False,0,False,False,False,0,False,False,False,28,1128,16092021,PreComm_Task,None,
7,Stable,52,71,55,68,22,19,-3,6.810018186999514,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,9.009379891002027,True,False,False,68,1128,16092021,PreComm_Task,None,
8,Stable,31,38,32,37,9,7,-1,7.133064521996857,True,False,False,False,0,0,0.5,0.6000000000000001,True,False,False,17.314077130999067,False,False,True,0,False,False,False,37,1128,16092021,PreComm_Task,None,
9,Stable,34,21,40,15,12,13,6,6.637504270001955,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,9.088365923998936,False,True,False,40,1128,16092021,PreComm_Task,None,
10,Stable,58,71,55,74,13,13,3,6.1205265589997,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,8.670820908002497,True,False,False,74,1128,16092021,PreComm_Task,None,
11,Stable,45,26,51,20,18,19,6,6.8110596209990035,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,9.657475784999406,False,True,False,51,1128,16092021,PreComm_Task,None,
12,Stable,59,40,62,37,19,19,3,6.91792355600046,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,9.167373099000542,False,True,False,62,1128,16092021,PreComm_Task,None,
13,Stable,41,42,38,45,1,1,3,6.480037571000139,True,False,False,False,0,0,0.6,0.7000000000000001,True,False,False,16.84555067799738,False,True,False,0,False,False,False,38,1128,16092021,PreComm_Task,None,
14,Stable,28,21,22,27,11,7,-6,6.92294074000165,True,False,False,True,0.6006022429974109,16.32291216000158,0.8,0.8,False,False,True,0,False,False,False,0,False,False,False,27,1128,16092021,PreComm_Task,None,
15,Stable,31,30,37,24,0,1,6,6.86107182699925,True,False,False,True,0.6028362670003844,16.25984403899929,0.8,0.7000000000000001,False,True,False,0,False,False,False,0,False,False,False,37,1128,16092021,PreComm_Task,None,
16,Stable,39,58,40,57,21,19,-1,7.07905399000083,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,9.578013988000748,True,False,False,57,1128,16092021,PreComm_Task,None,
17,Stable,54,41,55,40,14,13,1,6.858890240000619,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,9.605660860997887,False,True,False,55,1128,16092021,PreComm_Task,None,
18,Stable,37,38,38,37,3,1,-1,6.788071636001405,True,False,False,False,0,0,0.3,0.6000000000000001,True,False,False,16.724885119998362,False,True,False,0,False,False,False,38,1128,16092021,PreComm_Task,None,
19,Stable,25,32,24,33,8,7,1,8.314386342000944,False,False,True,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,0,False,False,False,0,1128,16092021,PreComm_Task,None,
20,Stable,21,40,20,41,20,19,1,6.418909203999647,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,8.866252135998366,True,False,False,41,1128,16092021,PreComm_Task,None,
21,Stable,57,76,63,70,23,19,-6,6.408819251999375,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,8.758184661997802,True,False,False,70,1128,16092021,PreComm_Task,None,
22,Stable,77,64,71,70,17,13,-6,6.844861879002565,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,9.245382024000719,False,True,False,71,1128,16092021,PreComm_Task,None,
23,Stable,65,58,68,55,7,7,3,6.7408388949988876,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,9.140427668000484,False,True,False,68,1128,16092021,PreComm_Task,None,
24,Stable,38,37,32,43,5,1,-6,6.542119887002627,True,False,False,True,0.6301561219988798,15.892677335999906,0.7,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,43,1128,16092021,PreComm_Task,None,
25,Stable,24,11,18,17,17,13,-6,6.8725058370000625,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,9.172503490000963,False,True,False,18,1128,16092021,PreComm_Task,None,
26,Stable,13,20,10,23,7,7,3,6.679850455999258,True,False,False,True,0.5948795889999019,16.330646203998185,1.0,0.6000000000000001,False,False,True,0,False,False,False,0,False,False,False,23,1128,16092021,PreComm_Task,None,
27,Stable,40,27,39,28,15,13,-1,6.123465062999458,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,8.323395572999289,False,True,False,39,1128,16092021,PreComm_Task,None,
28,Stable,78,59,77,60,21,19,-1,6.138426402001642,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,9.088739252001687,False,True,False,77,1128,16092021,PreComm_Task,None,
29,Stable,23,10,20,13,16,13,-3,6.604842729000666,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,9.156448628000362,False,True,False,20,1128,16092021,PreComm_Task,None,
30,Stable,71,78,74,75,10,7,-3,6.58307574599894,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,9.031925957002386,True,False,False,75,1128,16092021,PreComm_Task,None,
31,Stable,75,74,81,68,0,1,6,6.403893157999846,True,False,False,False,0,0,0.2,0.5000000000000001,True,False,False,16.17721208799776,False,True,False,0,False,False,False,81,1128,16092021,PreComm_Task,None,
32,Stable,45,44,48,41,1,1,3,6.376622084000701,True,False,False,False,0,0,0.4,0.6000000000000001,True,False,False,16.413905214998522,False,True,False,0,False,False,False,48,1128,16092021,PreComm_Task,None,
33,Stable,20,39,19,40,20,19,1,6.3657709600011,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,8.96430293999947,True,False,False,40,1128,16092021,PreComm_Task,None,
34,Stable,18,17,15,20,4,1,-3,6.655809808999038,True,False,False,True,0.605130800002371,15.85601265600053,0.6,0.7000000000000001,False,False,False,16.97398275100204,False,True,False,0,False,False,False,15,1128,16092021,PreComm_Task,None,
35,Stable,7,14,8,13,9,7,-1,7.065784665999672,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,9.565082113000244,True,False,False,13,1128,16092021,PreComm_Task,None,
