TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Volatile,40,39,24,55,5,1,-16,5.816233618999830,TRUE,FALSE,FALSE,TRUE,0.7769307020062120,15.501415913997300,0.9,0.8,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,55,1137,30092021,PreComm_Task,None,
2,Volatile,55,42,39,58,17,13,-16,5.80964498600224,TRUE,FALSE,FALSE,FALSE,0,0,0.9,0.7000000000000000,TRUE,FALSE,FALSE,16.469863849997600,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,39,1137,30092021,PreComm_Task,None,
3,Volatile,66,47,50,63,23,19,-16,6.7233475650136800,TRUE,FALSE,FALSE,FALSE,0,0,0.7,0.8,TRUE,FALSE,FALSE,17.302393377001900,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,63,1137,30092021,PreComm_Task,None,
4,Volatile,38,37,51,24,1,1,13,5.719028207997330,TRUE,FALSE,FALSE,FALSE,0,0,0.7,0.9,TRUE,FALSE,FALSE,16.377271257006200,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,24,1137,30092021,PreComm_Task,None,
5,Volatile,40,59,24,75,18,19,16,6.340951553997000,TRUE,FALSE,FALSE,TRUE,0.765933047994622,16.09326835499090,1.0,1.0,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,75,1137,30092021,PreComm_Task,None,
6,Volatile,50,49,66,33,0,1,16,5.713760129001460,TRUE,FALSE,FALSE,TRUE,0.8094947939971460,14.714248201009500,0.2,0.9,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,66,1137,30092021,PreComm_Task,None,
7,Volatile,54,55,43,66,2,1,11,6.016348539997130,TRUE,FALSE,FALSE,FALSE,0,0,0.3,0.8,TRUE,FALSE,FALSE,16.178075249001300,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,66,1137,30092021,PreComm_Task,None,
8,Volatile,43,24,56,11,19,19,13,6.1716253259946800,TRUE,FALSE,FALSE,TRUE,0.748008299007779,15.722164104998200,0.8,0.9,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,56,1137,30092021,PreComm_Task,None,
9,Volatile,32,25,48,9,6,7,16,5.765757251996550,TRUE,FALSE,FALSE,FALSE,0,0,0.9,0.8,TRUE,FALSE,FALSE,16.513991218002000,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,9,1137,30092021,PreComm_Task,None,
10,Volatile,45,38,32,51,10,7,-13,5.811343927009150,TRUE,FALSE,FALSE,TRUE,0.8171284120035130,15.313176599011100,0.7,0.9,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,51,1137,30092021,PreComm_Task,None,
11,Volatile,58,45,45,58,16,13,-13,5.616455808994940,TRUE,FALSE,FALSE,FALSE,0,0,1.0,0.8,TRUE,FALSE,FALSE,16.467057311994700,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,58,1137,30092021,PreComm_Task,None,
