TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Stable,68,75,62,81,6,7,6,5.708003946987446,True,False,False,True,0.5456980150192976,15.001816456002416,0.7,0.8,False,False,True,0,False,False,False,0,False,False,False,81,1178,22112021,PreComm_Task,None,
2,Stable,7,26,13,20,23,19,-6,6.155030356982024,True,False,False,True,0.592890001978958,15.153865025000414,0.4,0.7000000000000001,False,False,False,16.282389116997365,False,False,True,0,False,False,False,20,1178,22112021,PreComm_Task,None,
3,Stable,74,67,77,64,7,7,3,5.473796734993812,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,8.12468350000563,False,True,False,77,1178,22112021,PreComm_Task,None,
4,Stable,37,30,31,36,11,7,-6,5.696322095987853,True,False,False,True,0.5958277360186912,14.698416394006927,0.4,0.8,False,False,True,0,False,False,False,0,False,False,False,36,1178,22112021,PreComm_Task,None,
5,Stable,24,11,27,8,13,13,3,5.883456902985927,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,8.43393341099727,False,True,False,27,1178,22112021,PreComm_Task,None,
6,Stable,56,75,59,72,22,19,-3,6.152179677010281,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,8.902330940996762,True,False,False,72,1178,22112021,PreComm_Task,None,
7,Stable,52,33,55,30,19,19,3,6.39538108202396,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,9.045726634998573,False,True,False,55,1178,22112021,PreComm_Task,None,
8,Stable,65,66,68,63,4,1,-3,5.494163612020202,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,8.046744365012273,True,False,False,63,1178,22112021,PreComm_Task,None,
9,Stable,30,43,24,49,12,13,6,5.336684966023313,True,False,False,True,0.578343484987272,14.537164769019,0.6,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,49,1178,22112021,PreComm_Task,None,
10,Stable,70,69,76,63,0,1,6,5.371830994990887,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,7.822050555987516,False,True,False,76,1178,22112021,PreComm_Task,None,
