TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant
1,52,64,43,73,j4,0,-9,FALSE,TRUE,FALSE,7.65648818,TRUE,FALSE,FALSE,TRUE,0.252526045,16.34392905,0.5,0.3,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,73,4062019,60.16556524,PreComm_Task,L1_A
2,36,32,33,35,a3,0,3,FALSE,FALSE,TRUE,7.632569075,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.68259406,FALSE,TRUE,FALSE,33,4062019,60.16556524,PreComm_Task,L1_A
3,37,33,40,30,b1,0,-3,TRUE,FALSE,FALSE,7.632776022,TRUE,FALSE,FALSE,FALSE,0,0,1.2,0.25,TRUE,FALSE,FALSE,18.05109811,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,40,4062019,60.16556524,PreComm_Task,L1_A
4,40,44,27,57,f1,0,-13,FALSE,TRUE,FALSE,7.650029898,FALSE,TRUE,FALSE,0,0,0,0,0.3,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.69985199,FALSE,TRUE,FALSE,27,4062019,60.16556524,PreComm_Task,L1_A
5,27,23,18,32,c2,0,9,FALSE,FALSE,TRUE,7.650256157,TRUE,FALSE,FALSE,TRUE,0.245012999,16.02883101,0.2,0.3,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,32,4062019,60.16556524,PreComm_Task,L1_A
6,72,68,63,77,c3,0,9,FALSE,FALSE,TRUE,7.649420977,TRUE,FALSE,FALSE,TRUE,0.226908922,16.51019883,0.7,0.25,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,77,4062019,60.16556524,PreComm_Task,L1_A
7,30,34,33,31,a1,0,3,FALSE,FALSE,TRUE,7.649585962,FALSE,TRUE,FALSE,0,0,0,0,0.2,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.70050597,FALSE,FALSE,TRUE,0,4062019,60.16556524,PreComm_Task,L1_A
8,17,29,4,42,l2,0,-13,FALSE,TRUE,FALSE,7.649369955,FALSE,TRUE,FALSE,0,0,0,0,0.2,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.70062709,TRUE,FALSE,FALSE,42,4062019,60.16556524,PreComm_Task,L1_A
9,28,16,15,29,k1,0,13,FALSE,FALSE,TRUE,7.682883024,FALSE,TRUE,FALSE,0,0,0,0,0.2,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.73407197,FALSE,TRUE,FALSE,15,4062019,60.16556524,PreComm_Task,L1_A
10,22,34,19,37,h2,0,-3,FALSE,TRUE,FALSE,7.633661032,TRUE,FALSE,FALSE,FALSE,0,0,0.2,0.2,TRUE,FALSE,FALSE,17.018749,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,37,4062019,60.16556524,PreComm_Task,L1_A
11,61,57,52,66,c4,0,9,FALSE,FALSE,TRUE,7.68317914,TRUE,FALSE,FALSE,TRUE,0.215451002,17.03315592,1.2,0.25,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,4062019,60.16556524,PreComm_Task,L1_A
12,50,54,37,67,f4,0,-13,FALSE,TRUE,FALSE,7.634334803,TRUE,FALSE,FALSE,FALSE,0,0,0.8,0.2,TRUE,FALSE,FALSE,17.6195209,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,37,4062019,60.16556524,PreComm_Task,L1_A
13,70,58,67,61,g2,0,3,TRUE,FALSE,FALSE,7.633437872,TRUE,FALSE,FALSE,FALSE,0,0,0.2,0.25,TRUE,FALSE,FALSE,17.05054998,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,67,4062019,60.16556524,PreComm_Task,L1_A
14,44,40,57,27,f3,0,-13,TRUE,FALSE,FALSE,7.665491104,FALSE,TRUE,FALSE,0,0,0,0,0.3,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.71650791,FALSE,TRUE,FALSE,57,4062019,60.16556524,PreComm_Task,L1_A
15,42,54,51,45,i2,0,9,FALSE,FALSE,TRUE,7.64942193,FALSE,TRUE,FALSE,0,0,0,0,0.3,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.69981694,TRUE,FALSE,FALSE,45,4062019,60.16556524,PreComm_Task,L1_A
16,67,63,70,60,b3,0,-3,TRUE,FALSE,FALSE,7.650073051,TRUE,FALSE,FALSE,TRUE,0.234157085,16.71880698,0.9,0.3,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,70,4062019,60.16556524,PreComm_Task,L1_A
17,49,53,46,56,b2,0,-3,FALSE,TRUE,FALSE,7.64990592,TRUE,FALSE,FALSE,TRUE,0.21579504,16.60001802,0.8,0.25,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,56,4062019,60.16556524,PreComm_Task,L1_A
18,71,83,84,70,k2,0,13,FALSE,FALSE,TRUE,7.616886139,FALSE,TRUE,FALSE,0,0,0,0,0.2,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.66744399,FALSE,TRUE,FALSE,84,4062019,60.16556524,PreComm_Task,L1_A
19,73,61,70,64,g3,0,3,TRUE,FALSE,FALSE,7.632783175,TRUE,FALSE,FALSE,FALSE,0,0,0.3,0.2,TRUE,FALSE,FALSE,17.11758399,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,70,4062019,60.16556524,PreComm_Task,L1_A
20,81,69,68,82,k3,0,13,FALSE,FALSE,TRUE,7.634056091,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.68477607,TRUE,FALSE,FALSE,82,4062019,60.16556524,PreComm_Task,L1_A
21,34,30,31,33,a2,0,3,FALSE,FALSE,TRUE,7.665913105,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.71727395,FALSE,TRUE,FALSE,31,4062019,60.16556524,PreComm_Task,L1_A
22,40,52,49,43,i4,0,9,FALSE,FALSE,TRUE,7.667212009,TRUE,FALSE,FALSE,TRUE,0.215862989,16.51663017,0.7,0.25,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,49,4062019,60.16556524,PreComm_Task,L1_A
23,77,65,80,62,h3,0,-3,TRUE,FALSE,FALSE,7.631888151,TRUE,FALSE,FALSE,FALSE,0,0,0.4,0.2,TRUE,FALSE,FALSE,17.21703315,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,62,4062019,60.16556524,PreComm_Task,L1_A
24,55,51,64,42,d1,0,-9,TRUE,FALSE,FALSE,7.683189869,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.73401189,TRUE,FALSE,FALSE,42,4062019,60.16556524,PreComm_Task,L1_A
25,22,34,35,21,k4,0,13,FALSE,FALSE,TRUE,7.682732105,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.73316908,TRUE,FALSE,FALSE,21,4062019,60.16556524,PreComm_Task,L1_A
