TrialNumber,OptionA,OptionB,EndA,EndB,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,RT_trialClock_play,Press_hit,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,88,76,75,89,12,13,False,False,True,6.66199302673,True,False,False,0.239161968231,15.6380541325,True,False,False,False,0,False,False,False,False,False,0,False,False,False,89,01052019,60.387581274,PreComm_Task,01,
2,102,82,93,91,20,9,True,False,False,6.64860200882,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69848895073,False,True,False,93,01052019,60.387581274,PreComm_Task,01,
3,80,68,77,71,12,3,True,False,False,6.63094210625,True,False,False,0,0,False,True,False,False,17.0509221554,False,True,False,False,False,0,False,False,False,77,01052019,60.387581274,PreComm_Task,01,
4,48,68,45,71,-20,3,False,True,False,6.64765405655,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69908690453,True,False,False,71,01052019,60.387581274,PreComm_Task,01,
5,86,74,73,87,12,13,False,False,True,6.62895107269,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.68156695366,False,True,False,73,01052019,60.387581274,PreComm_Task,01,
6,90,70,81,79,20,9,True,False,False,6.64530086517,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69824290276,False,True,False,81,01052019,60.387581274,PreComm_Task,01,
7,78,50,75,53,28,3,True,False,False,6.62838792801,True,False,False,0,0,False,True,False,False,16.8992209435,False,True,False,False,False,0,False,False,False,75,01052019,60.387581274,PreComm_Task,01,
8,60,88,51,97,-28,9,False,True,False,6.66236996651,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.71363091469,True,False,False,97,01052019,60.387581274,PreComm_Task,01,
9,70,82,61,91,-12,9,False,True,False,6.68012189865,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.73167490959,True,False,False,91,01052019,60.387581274,PreComm_Task,01,
10,63,75,50,88,-12,13,False,True,False,6.64773416519,True,False,False,0,0,False,True,False,False,17.0675690174,False,False,True,False,False,0,False,False,False,88,01052019,60.387581274,PreComm_Task,01,
11,84,56,71,69,28,13,True,False,False,6.68119597435,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.7312579155,False,True,False,71,01052019,60.387581274,PreComm_Task,01,
12,65,53,52,66,12,13,False,False,True,6.63041496277,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.68076896667,False,True,False,52,01052019,60.387581274,PreComm_Task,01,
13,25,45,16,54,-20,9,False,True,False,6.61211419106,True,False,False,0,0,False,True,False,False,16.8825881481,False,True,False,False,False,0,False,False,False,16,01052019,60.387581274,PreComm_Task,01,
14,100,80,87,93,20,13,False,False,True,6.64741396904,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69953894615,False,True,False,87,01052019,60.387581274,PreComm_Task,01,
15,30,50,17,63,-20,13,False,True,False,6.62884497643,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.68089795113,True,False,False,63,01052019,60.387581274,PreComm_Task,01,
16,91,87,82,96,4,9,False,False,True,6.64509296417,True,False,False,0.425770998001,15.5090820789,True,False,False,False,0,False,False,False,False,False,0,False,False,False,96,01052019,60.387581274,PreComm_Task,01,
17,53,65,40,78,-12,13,False,True,False,6.62979793549,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.682336092,True,False,False,78,01052019,60.387581274,PreComm_Task,01,
18,88,60,75,73,28,13,True,False,False,6.64864015579,True,False,False,0.254130840302,15.3385682106,True,False,False,False,0,False,False,False,False,False,0,False,False,False,75,01052019,60.387581274,PreComm_Task,01,
19,42,46,39,49,-4,3,False,True,False,6.64658999443,True,False,False,0.299383878708,15.8834588528,True,False,False,False,0,False,False,False,False,False,0,False,False,False,49,01052019,60.387581274,PreComm_Task,01,
20,39,43,30,52,-4,9,False,True,False,6.6287689209,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.6810259819,True,False,False,52,01052019,60.387581274,PreComm_Task,01,
