TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,30,26,21,35,c,4,9,False,False,True,6.64335799217,False,True,False,0,0,0,0,0.3,0,False,False,0,False,False,False,9.69023299217,False,True,False,21,24052019,60.0107021344,PreComm_Task,8,
2,69,57,60,66,iii,12,9,False,False,True,6.62994718552,True,False,False,True,0.249805927277,15.4156382084,0.6,0.3,False,False,True,0,False,False,False,0,False,False,False,66,24052019,60.0107021344,PreComm_Task,8,
3,55,43,68,30,l,12,-13,True,False,False,6.61343812943,True,False,False,True,0.216746807098,15.3672602177,0.6,0.25,False,True,False,0,False,False,False,0,False,False,False,68,24052019,60.0107021344,PreComm_Task,8,
4,55,43,46,52,ii,12,9,False,False,True,6.61259007454,False,True,False,0,0,0,0,0.2,0,False,False,0,False,False,False,9.66509199142,False,False,True,0,24052019,60.0107021344,PreComm_Task,8,
5,19,15,28,6,d,4,-9,True,False,False,6.64814710617,False,True,False,0,0,0,0,0.2,0,False,False,0,False,False,False,9.69831514359,False,True,False,28,24052019,60.0107021344,PreComm_Task,8,
6,43,39,34,48,ccc,4,9,False,False,True,6.68127202988,True,False,False,False,0,0,0.4,0.2,True,False,False,16.2673740387,False,False,True,0,False,False,False,48,24052019,60.0107021344,PreComm_Task,8,
7,19,15,6,28,e,4,13,False,False,True,6.62998604774,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,9.6829431057,False,True,False,6,24052019,60.0107021344,PreComm_Task,8,
8,31,27,18,40,ee,4,13,False,False,True,6.62993597984,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,9.68275094032,False,True,False,18,24052019,60.0107021344,PreComm_Task,8,
1,51,31,54,28,bb,20,-3,True,False,False,6.63851189613,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,9.68932294846,False,False,True,0,24052019,60.0107021344,PreComm_Task,8,
2,82,54,85,51,hh,28,-3,True,False,False,6.62960410118,True,False,False,False,0,0,0.3,0.25,True,False,False,16.1516451836,False,False,True,0,False,False,False,51,24052019,60.0107021344,PreComm_Task,8,
3,48,28,45,31,a,20,3,True,False,False,6.65301585197,False,True,False,0,0,0,0,0.3,0,False,False,0,False,False,False,9.70274996758,False,True,False,45,24052019,60.0107021344,PreComm_Task,8,
4,44,24,41,27,aa,20,3,True,False,False,6.63134503365,False,True,False,0,0,0,0,0.3,0,False,False,0,False,False,False,9.68073391914,False,True,False,41,24052019,60.0107021344,PreComm_Task,8,
5,49,21,62,8,ll,28,-13,True,False,False,6.68045091629,False,True,False,0,0,0,0,0.3,0,False,False,0,False,False,False,9.73156881332,False,True,False,62,24052019,60.0107021344,PreComm_Task,8,
6,48,28,61,15,fff,20,-13,True,False,False,6.6479640007,True,False,False,False,0,0,0.8,0.3,True,False,False,16.7176599503,False,True,False,0,False,False,False,61,24052019,60.0107021344,PreComm_Task,8,
7,73,53,70,56,aaa,20,3,True,False,False,6.62869596481,False,True,False,0,0,0,0,0.35,0,False,False,0,False,False,False,9.68137407303,True,False,False,56,24052019,60.0107021344,PreComm_Task,8,
8,61,41,64,38,bbb,20,-3,True,False,False,6.61341881752,False,True,False,0,0,0,0,0.35,0,False,False,0,False,False,False,9.66603398323,False,False,True,0,24052019,60.0107021344,PreComm_Task,8,
