TrialNumber,OptionA,OptionB,EndA,EndB,A_difference,B_difference,largest_option,largest_end,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,RT_trialClock_play,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,51,32,48,58,3,-26,51,58,False,False,True,3.57032585144,True,False,False,0.517243862152,6.63757896423,True,False,0,False,False,False,False,False,0,False,False,False,48,28022019,60.006409376,PreComm_Task,A,
2,59,65,6,32,53,33,65,32,False,True,False,3.56281614304,False,True,False,0,0,False,False,0,False,False,False,False,False,6.61431312561,False,True,False,6,28022019,60.006409376,PreComm_Task,A,
3,6,60,11,64,-5,-4,60,64,False,True,False,3.55019903183,True,False,False,0.517055034637,6.61820006371,False,True,0,False,False,False,False,False,0,False,False,False,64,28022019,60.006409376,PreComm_Task,A,
4,6,30,50,72,-44,-42,30,72,False,True,False,3.55038905144,True,False,False,0,0,False,False,7.73736906052,True,True,False,False,True,0,False,False,False,50,28022019,60.006409376,PreComm_Task,A,
5,26,54,19,46,7,8,54,46,False,True,False,3.55021500587,False,True,False,0,0,False,False,0,False,False,False,False,False,6.60151386261,True,False,False,46,28022019,60.006409376,PreComm_Task,A,
6,34,65,12,69,22,-4,65,69,False,True,False,3.54564785957,False,True,False,0,0,False,False,0,False,False,False,False,False,6.59619903564,True,False,False,69,28022019,60.006409376,PreComm_Task,A,
7,19,65,36,68,-17,-3,65,68,False,True,False,3.55043077469,True,False,False,0,0,False,False,7.73710799217,True,False,True,True,False,0,False,False,False,68,28022019,60.006409376,PreComm_Task,A,
8,57,24,57,20,0,4,57,57,True,False,False,3.54558396339,False,True,False,0,0,False,False,0,False,False,False,False,False,6.59776091576,True,False,False,20,28022019,60.006409376,PreComm_Task,A,
9,55,17,19,50,36,-33,55,50,False,False,True,3.56361484528,True,False,False,0,0,False,False,7.74938797951,True,False,True,True,False,0,False,False,False,50,28022019,60.006409376,PreComm_Task,A,
10,48,32,28,30,20,2,48,30,False,False,True,3.5456700325,True,False,False,0,0,False,False,7.73157501221,True,True,False,True,False,0,False,False,False,28,28022019,60.006409376,PreComm_Task,A,
11,34,17,54,23,-20,-6,34,54,True,False,False,3.54538917542,False,True,False,0,0,False,False,0,False,False,False,False,False,6.59669995308,False,False,True,0,28022019,60.006409376,PreComm_Task,A,
12,44,50,16,41,28,9,50,41,False,True,False,3.54907512665,True,False,False,0,0,False,False,7.73533797264,True,False,True,False,True,0,False,False,False,41,28022019,60.006409376,PreComm_Task,A,
13,28,49,10,35,18,14,49,35,False,True,False,3.5458419323,True,False,False,0,0,False,False,7.73049998283,True,False,True,False,False,0,False,False,False,35,28022019,60.006409376,PreComm_Task,A,
14,17,19,16,21,1,-2,19,21,False,True,False,3.56174015999,False,True,False,0,0,False,False,0,False,False,False,False,False,6.61432719231,True,False,False,21,28022019,60.006409376,PreComm_Task,A,
15,15,47,5,33,10,14,47,33,False,True,False,3.54497599602,True,False,False,0.517910003662,6.61529183388,False,True,0,False,False,False,False,False,0,False,False,False,33,28022019,60.006409376,PreComm_Task,A,
16,37,31,46,43,-9,-12,37,46,True,False,False,3.55096888542,True,False,False,0.516279935837,6.61789107323,False,True,0,False,False,False,False,False,0,False,False,False,43,28022019,60.006409376,PreComm_Task,A,
17,20,47,10,64,10,-17,47,64,False,True,False,3.5516409874,False,False,True,0,0,False,True,0,False,False,False,False,False,0,False,False,False,0,28022019,60.006409376,PreComm_Task,A,
18,51,65,56,21,-5,44,65,56,False,False,True,3.54683303833,False,True,False,0,0,False,False,0,False,False,False,False,False,6.59867310524,True,False,False,21,28022019,60.006409376,PreComm_Task,A,
19,30,64,43,74,-13,-10,64,74,False,True,False,3.54921913147,False,True,False,0,0,False,False,0,False,False,False,False,False,6.60235309601,True,False,False,74,28022019,60.006409376,PreComm_Task,A,
20,53,60,32,28,21,32,60,32,False,False,True,3.55029702187,False,True,False,0,0,False,False,0,False,False,False,False,False,6.60082983971,True,False,False,28,28022019,60.006409376,PreComm_Task,A,
