TrialNumber,OptionA,OptionB,EndA,EndB,A_difference,B_difference,largest_option,largest_end,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,RT_trialClock_play,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,44,55,9,60,35,-5,55,60,False,True,False,3.5697889328,True,False,False,0,0,False,False,7.75570487976,True,True,False,False,True,0,False,False,False,9,28022019,60.133045832,PreComm_Task,B,
2,38,67,16,63,22,4,67,63,False,True,False,3.54621100426,True,False,False,0.521136045456,6.61726903915,False,True,0,False,False,False,False,False,0,False,False,False,63,28022019,60.133045832,PreComm_Task,B,
3,9,69,24,54,-15,15,69,54,False,True,False,3.5464348793,False,True,False,0,0,False,False,0,False,False,False,False,False,6.59761095047,True,False,False,54,28022019,60.133045832,PreComm_Task,B,
4,22,51,58,64,-36,-13,51,64,False,True,False,3.54944610596,False,True,False,0,0,False,False,0,False,False,False,False,False,6.60132408142,False,False,True,0,28022019,60.133045832,PreComm_Task,B,
5,35,24,61,64,-26,-40,35,64,False,False,True,3.54559898376,False,True,False,0,0,False,False,0,False,False,False,False,False,6.5965321064,False,True,False,61,28022019,60.133045832,PreComm_Task,B,
6,35,41,10,21,25,20,41,21,False,True,False,3.55121612549,False,True,False,0,0,False,False,0,False,False,False,False,False,6.60237312317,True,False,False,21,28022019,60.133045832,PreComm_Task,B,
7,61,36,43,25,18,11,61,43,True,False,False,3.55058002472,True,False,False,0.520691871643,6.62184786797,True,False,0,False,False,False,False,False,0,False,False,False,43,28022019,60.133045832,PreComm_Task,B,
8,58,35,58,25,0,10,58,58,True,False,False,3.54742908478,True,False,False,0.517953872681,6.61510205269,False,True,0,False,False,False,False,False,0,False,False,False,25,28022019,60.133045832,PreComm_Task,B,
9,32,69,51,32,-19,37,69,51,False,False,True,3.54635500908,False,True,False,0,0,False,False,0,False,False,False,False,False,6.5967669487,True,False,False,32,28022019,60.133045832,PreComm_Task,B,
10,27,31,36,62,-9,-31,31,62,False,True,False,3.5677819252,False,True,False,0,0,False,False,0,False,False,False,False,False,6.62022995949,False,False,True,0,28022019,60.133045832,PreComm_Task,B,
11,12,17,18,69,-6,-52,17,69,False,True,False,3.54702782631,False,False,True,0,0,False,False,0,False,False,False,False,False,0,False,False,True,0,28022019,60.133045832,PreComm_Task,B,
12,49,46,10,26,39,20,49,26,False,False,True,3.55026698112,True,False,False,0,0,False,False,7.73561000824,True,True,False,False,True,0,False,False,False,10,28022019,60.133045832,PreComm_Task,B,
13,11,67,36,15,-25,52,67,36,False,False,True,3.54588389397,True,False,False,0,0,False,False,7.73035597801,True,True,False,True,False,0,False,False,False,36,28022019,60.133045832,PreComm_Task,B,
14,34,16,52,24,-18,-8,34,52,True,False,False,3.54502701759,True,False,False,0.522503137589,6.61917495728,True,False,0,False,False,False,False,False,0,False,False,False,52,28022019,60.133045832,PreComm_Task,B,
15,38,71,19,64,19,7,71,64,False,True,False,3.55109810829,False,True,False,0,0,False,False,0,False,False,False,False,False,6.60300898552,True,False,False,64,28022019,60.133045832,PreComm_Task,B,
16,27,44,30,49,-3,-5,44,49,False,True,False,3.55033516884,False,True,False,0,0,False,False,0,False,False,False,False,False,6.60049009323,True,False,False,49,28022019,60.133045832,PreComm_Task,B,
17,28,57,37,37,-9,20,57,37,False,False,True,3.54615998268,False,True,False,0,0,False,False,0,False,False,False,False,False,6.59754014015,False,True,False,37,28022019,60.133045832,PreComm_Task,B,
18,60,36,15,34,45,2,60,34,False,False,True,3.55088615417,True,False,False,0.537518978119,6.64032506943,False,True,0,False,False,False,False,False,0,False,False,False,34,28022019,60.133045832,PreComm_Task,B,
19,28,58,21,39,7,19,58,39,False,True,False,3.54557108879,False,False,True,0,0,False,True,0,False,False,False,False,False,0,False,False,False,0,28022019,60.133045832,PreComm_Task,B,
20,53,16,45,24,8,-8,53,45,True,False,False,3.54726219177,False,True,False,0,0,False,False,0,False,False,False,False,False,6.59763216972,False,True,False,45,28022019,60.133045832,PreComm_Task,B,
