TrialNumber,OptionA,OptionB,EndA,EndB,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,RT_trialClock_play,Press_hit,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,72,60,59,73,12,13,False,False,True,6.63246703148,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.68564295769,False,True,False,59,01052019,59.7500480786,PreComm_Task,,
2,73,85,64,94,-12,9,False,True,False,6.66308784485,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.71395993233,True,False,False,94,01052019,59.7500480786,PreComm_Task,,
3,109,81,96,94,28,13,True,False,False,6.68005204201,True,False,False,0,0,False,True,False,False,16.3508570194,False,True,False,False,False,0,False,False,False,96,01052019,59.7500480786,PreComm_Task,,
4,70,50,57,63,20,13,False,False,True,6.63004183769,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.68114495277,False,True,False,57,01052019,59.7500480786,PreComm_Task,,
5,74,70,65,79,4,9,False,False,True,6.66388607025,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.71457695961,True,False,False,79,01052019,59.7500480786,PreComm_Task,,
6,48,60,39,69,-12,9,False,True,False,6.64863610268,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69896411896,True,False,False,69,01052019,59.7500480786,PreComm_Task,,
7,24,44,11,57,-20,13,False,True,False,6.64521503448,True,False,False,0.278184175491,15.3603510857,True,False,False,False,0,False,False,False,False,False,0,False,False,False,57,01052019,59.7500480786,PreComm_Task,,
8,89,61,80,70,28,9,True,False,False,6.63131809235,True,False,False,0,0,False,True,False,False,16.5015981197,False,True,False,False,False,0,False,False,False,80,01052019,59.7500480786,PreComm_Task,,
9,43,71,30,84,-28,13,False,True,False,6.64797115326,True,False,False,0.26935505867,15.8530189991,True,False,False,False,0,False,False,False,False,False,0,False,False,False,84,01052019,59.7500480786,PreComm_Task,,
10,51,71,42,80,-20,9,False,True,False,6.63035917282,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.68194508553,True,False,False,80,01052019,59.7500480786,PreComm_Task,,
11,55,43,52,46,12,3,True,False,False,6.61362886429,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.6651468277,False,True,False,52,01052019,59.7500480786,PreComm_Task,,
12,67,47,58,56,20,9,True,False,False,6.64819216728,True,False,False,0.264760017395,15.7482531071,True,False,False,False,0,False,False,False,False,False,0,False,False,False,58,01052019,59.7500480786,PreComm_Task,,
13,79,75,76,78,4,3,False,False,True,6.67978286743,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.73199892044,True,False,False,78,01052019,59.7500480786,PreComm_Task,,
14,55,83,42,96,-28,13,False,True,False,6.67966985703,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.73251581192,True,False,False,96,01052019,59.7500480786,PreComm_Task,,
15,79,67,66,80,12,13,False,False,True,6.67894887924,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.7301068306,False,True,False,66,01052019,59.7500480786,PreComm_Task,,
16,33,61,24,70,-28,9,False,True,False,6.62924003601,True,False,False,0,0,False,True,False,False,16.751470089,False,True,False,False,False,0,False,False,False,24,01052019,59.7500480786,PreComm_Task,,
17,41,69,38,72,-28,3,False,True,False,6.66335511208,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.71496701241,True,False,False,72,01052019,59.7500480786,PreComm_Task,,
18,55,43,52,46,12,3,True,False,False,6.61388015747,True,False,False,0,0,False,True,False,False,16.8844029903,False,False,True,False,False,0,False,False,False,46,01052019,59.7500480786,PreComm_Task,,
19,58,78,55,81,-20,3,False,True,False,6.66375589371,True,False,False,0,0,False,True,False,False,16.1835198402,False,True,False,False,False,0,False,False,False,55,01052019,59.7500480786,PreComm_Task,,
20,64,68,55,77,-4,9,False,True,False,6.64637494087,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69988799095,True,False,False,77,01052019,59.7500480786,PreComm_Task,,
