TrialNumber,OptionA,OptionB,EndA,EndB,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,31,19,28,22,12,3,True,False,False,6.66680312157,False,True,False,0,0,0,0,0.3,0,False,False,0,False,False,False,False,False,9.71973395348,True,False,False,22,10052019,59.9732899414,PreComm_Task,,
2,36,56,23,69,-20,13,False,True,False,6.64586305618,False,True,False,0,0,0,0,0.3,0,False,False,0,False,False,False,False,False,9.69799494743,False,True,False,23,10052019,59.9732899414,PreComm_Task,,
3,40,28,27,41,12,13,False,False,True,6.66162991524,True,False,False,False,0,0,0.5,0.3,True,False,False,16.4326379299,False,False,True,False,False,0,False,False,False,41,10052019,59.9732899414,PreComm_Task,,
4,70,66,61,75,4,9,False,False,True,6.65258693695,True,False,False,False,0,0,0.8,0.35,True,False,False,16.7722260952,False,False,True,False,False,0,False,False,False,75,10052019,59.9732899414,PreComm_Task,,
5,36,32,33,35,4,3,False,False,True,6.63041305542,True,False,False,False,0,0,0.6,0.4,True,False,False,16.5995740891,False,True,False,False,False,0,False,False,False,33,10052019,59.9732899414,PreComm_Task,,
6,31,43,22,52,-12,9,False,True,False,6.64595389366,True,False,False,False,0,0,0.4,0.45,True,False,False,16.4663097858,False,True,False,False,False,0,False,False,False,22,10052019,59.9732899414,PreComm_Task,,
7,37,25,34,28,12,3,True,False,False,6.66274404526,False,True,False,0,0,0,0,0.5,0,False,False,0,False,False,False,False,False,9.71565794945,True,False,False,28,10052019,59.9732899414,PreComm_Task,,
8,68,56,59,65,12,9,False,False,True,6.64576292038,True,False,False,False,0,0,0.5,0.5,True,False,False,16.6158528328,False,False,True,False,False,0,False,False,False,65,10052019,59.9732899414,PreComm_Task,,
9,88,60,75,73,28,13,True,False,False,6.6796040535,True,False,False,False,0,0,0.6,0.55,True,False,False,16.8004231453,False,False,True,False,False,0,False,False,False,73,10052019,59.9732899414,PreComm_Task,,
10,50,46,47,49,4,3,False,False,True,6.62920403481,True,False,False,False,0,0,0.7,0.6,True,False,False,16.9009151459,False,False,True,False,False,0,False,False,False,49,10052019,59.9732899414,PreComm_Task,,
11,72,52,69,55,20,3,True,False,False,6.65504693985,True,False,False,False,0,0,0.4,0.65,True,False,False,16.6727199554,False,True,False,False,False,0,False,False,False,69,10052019,59.9732899414,PreComm_Task,,
12,44,48,35,57,-4,9,False,True,False,6.64715409279,False,True,False,0,0,0,0,0.7,0,False,False,0,False,False,False,False,False,9.69667410851,True,False,False,57,10052019,59.9732899414,PreComm_Task,,
